한글명,영문명
이행,Fulfilment
풀,Full
풀 컨테이너,Full Container
풀 컨테이너 적재,Full container load
전액 지불,Full payment
훈증,Fumigation
기능,Function
기능성,Functionality
기능,Functioning
자금,Fund
자금 이체,Fund Transfer
가구,Furniture
선물,Future
선물,Futures
FWA,Fwa
GEPG,GEPG
GFS,GFS
GGR,GGR
GPC,GPC
GPS,GPS
게인,Gain
갤러리,Gallery
갤런,Gallon
게임,Game
게이밍,Gaming
갭,Gap
차고,Garage
가스,Gas
게이트,Gate
게이트 아웃,Gate-out
게이트웨이,Gateway
Gdp,Gdp
성별,Gender
계보,Genealogy
일반,General
일반 진술,General Statement
일반 실패,General failure
생성됨,Generated
생성자,Generator
유전적으로,Genetically
진품,Genuine
지리적,Geographical
일련번호 받기,Get Serial Number
인삼,Ginseng
지로,Giro
요점,Gist
제공됨,Given
글로벌,Global
GMO,Gmo
목표,Goal
진행 중,Going
골프,Golf
좋음,Good
상품,Goods
친선,Goodwill
정부,Government
유예,Grace
등급,Grade
채점,Grading
졸업,Graduation
총액,Grand
총합계,Grand total
보조금,Grant
허가됨,Granted
수혜자,Grantee
허가자,Grantor
과립,Granules
그래프,Graph
녹색,Green
인사말,Greeting
총중량,Gross
지상,Ground
그룹,Group
그룹화,Grouping
재배자,Grower
성장,Growth
보증,Guarantee
보증인,Guarantor
보증,Guaranty
경비원,Guard
경비원,Guardian
경비원,Guardship
Guce,Guce
방문객,Guest
방명록,Guestbook
지침,Guidance
안내서,Guide
안내서,Guidebook
안내서,Guideline
지침서,Guild
길드,Gunpowder
화약,HQ
본부,HS
HS,Habit
습관,Habitability
거주 가능성,Hair
머리카락,Halal
할랄,Half Gross Weight
총중량의 절반,Half-Year
반년,Halt
중단,Hand
손,Hand Out
배달,Hand Work
수작업,Handbook
핸들북,Handing
핸들링,Handle
핸들러,Handler
핸들링,Handling
정보 처리,Handling Of Information
인계,Handover
편리,Handy
항구,Harbor
하드웨어,Hardware
해상,Harm
해시,Hash
책임자,Head
조직 책임자,Head Of Oraganization
부서장,Head Of The Department
관공서장,Head of government office
머리,Header
제목,Heading
본부,Headquarters
건강,Health
건강한,Healthy
청력,Hearing
심장,Heart
키,Height
높이,Heigth
여기_보내기,Here_Send
숨김,Hidden
높음,High
고위험,High risk
최고,Highest
최고 직급,Highest Rank
힌트,Hint
고용,Hire
이력,History
타격,Hitting
취미,Hobby
보류,Hold
보유자,Holder
휴일,Holiday
홈,Home
홈페이지,Homepage
희망,Hope
수평적으로,Horizontally
마력,Horse
마력,Horsepower
호스트,Host
시간,Hour
시간-시간,Hour-Time
주택,House
주택 awb,House awb
주택 b/l,House b/l
주택 b/l 일련번호,House b/l serial number
가구,Household
세대주,Householder
주택,Housing
Hs12,Hs12
Hs2,Hs2
Hs4,Hs4
Hs6,Hs6
Hs8,Hs8
Ht,Ht
Hull,Hull
인사,Human
인사부,Human resource
인사부,Human resource department
습도,Humidity
허들,Hurdle
탄화수소,Hydrocarbon
IATA,IATA
ICT,ICT
신분증,ID
신분증,ID Card
ID1,ID1
ID2,ID2
ID3,ID3
ID4,ID4
ID5,ID5
ID6,ID6
ID7,ID7
ID8,ID8
IMDG,IMDG
IMEI,IMEI
IMO,IMO
IMSI,IMSI
IP,IP
ISIC,ISIC
ISO,ISO
ISO2,ISO2
ITAX,ITAX
아이콘,Icon
아이디어,Idea
식별,Identification
식별됨,Identified
식별자,Identifier
식별,Identify
신분증,Identity
이념,Ideology
불법,Illegality
유동성 없음,Illiquid
이미지,Image
모방,Imitation
즉각적,Immediate
이민,Immigrant
이민국,Immigration Bureau
도입,Imoprtation
영향,Impact
손상,Impairment
불완전성,Imperfection
시행,Implementation
함의,Implications
수입,Import
수입 가격,Import Price
수입 차량 식별,Import Vehicle Identification
수입 허가 요청,Import permit request
수입 품질 시스템,Import quality system
중요성,Importance
수입,Imported
수입업자,Importer
수입-수출업자,Importer-Exporter
수입 및 수출,Imports and exports
부과,Imposition
불가능,Impossible
구금,Imprisonment
부적절함,Impropriety
개선,Improvement
귀속,Imputation
귀속,Impute
내부,In
보세 또는 보세,In Bond Or Bonded
차량 내,In The Car
차례로,In Turn
내부 밸러스트,In ballast
부정확,Inaccuracy
비활성,Inactive
취임식,Inauguration
받은 편지함,Inbox
인치,Inch
사건,Incident
포함,Inclusion
포괄,Inclusive
수입,Income
수입,Incoming
미완료,Incompletion
통합,Incorporated
통합,Incorporation
부정확,Incorrect
인코텀즈,Incoterms
증가,Increasing
증가,Increment
발생,Incur
독립성,Independence
지수,Index
지시,Indication
지표,Indicator
기소,Indictment
간접적,Indirect
개인적,Individual
유도,Induction
산업적,Industrial
산업,Industry
유아,Infant
무한,Infinite
기내,Inflight
유입,Inflow
영향,Influence
정보,Inform
정보 문서,Inform Document
비공식성,Informality
정보 제공자,Informant
정보,Information
정보 및 정보,Information & Intelligence
정보 분석,Information Analysis
정보 기술,Information Technology
정보화,Informationization
정보 제공자,Informed Person
정보1,Informer
정보2,Infos1
인프라,Infos2
위반,Infrastructure
규정 위반,Infringement
성분,Infringement Of Regulations
주민,Ingredient
초기화,Inhabitants
초기화,Initial
초기화,Initialization
개시,Initials
개시자,Initiation
주입,Initiator
상해,Injection
불의,Injury
내륙,Injustice
내륙 컨테이너 창고,Inland
인명부,Inland container depot
내부,Inlist
무죄,Inner
혁신,Innocence
접종,Innovation
현장,Inoculation
진행 중,Inplace
입력,Inprocess
입력 및 출력,Input
문의자,Input & output
문의,Inquirer
문의,Inquiry
문의,Inquiry Into
문의 담당자,Inquiry Preson
삽입,Insert
검사 결과,Inspecting Result
검사,Inspection
검사관,Inspector
납부,Inspention
설치,Install
설치됨,Installed
설치자,Installer
할부,Installment
할부 신청,Installment Application
인스턴스,Instance
기관,Institution
지시,Instruct
강사,Instructor
도구,Instrument
부족,Insufficiency
보험,Insurance
보험료,Insurance Fee
보험사,Insurer
무형,Intangible
집적 회로 카드,Integrated circuit card
지적,Intellectual
지능,Intelligence
의도,Intendance
의도,Intended use
의도,Intenion
집중적,Intensive
의도,Intention
회사 간,InterCompany
상호작용,Interaction
차단,Intercept
차단,Interception
교환,Interchange
이해관계,Interest
이해관계,Interests
인터페이스,Interface
중개자,Intermediary
중간자,Intermediate
내부,Internal
내부 조사,Internal Investigation
내부 포털,Internal Portal
내부 외부,Internal external
국제,International
국제기구,International Body
인터넷,Internet
인터폴,Interpol
해석,Interpretation
상호관계,Interrelationship
심문,Interrogation
방해,Interrupt
간격,Interval
개입 수준,Intervention Level
면담,Interview
내부,Intra
도입,Introduction
무효,Invalid
재고,Inventory
조사,Investigation
조사 조항,Investigation Clause
조사 대상,Investigation Target
조사관,Investigator
투자,Investment
투자자,Investor
초대장,Invitation
송장,Invoice
관련,Involved
수신,Inward
불규칙,Irregularity
섬,Islands
격리,Isolation
ISP,Isps
발급,Issuance
발급,Issue
발급된,Issued
발급자,Issuee
발급자,Issuer
품목,Item
반복,Iteration
여정,Itinerary
재고 상품,Iventory Goods
자쿠지,Jacuzzi
1월,January
일본,Japan
일본어,Japanese
제퍼디,Jeopardy
보석,Jewelry
직무,Job
직무 승인,Job Approve
공동,Joint
분개,Journal
분개,Journalizing
판사,Judge
판결,Judgement
판결,Judgment
사법부,Judicature
사법,Judicial
사법부,Judiciary
7월,July
6월,June
관할권,Jurisdiction
법인,Juristical Person
공정성,Justness
KPI,KPI
Keel To Masthead,Keel To Masthead
Keeper,Keeper
케냐 항만청,Kenya port authority
키워드,Key
키워드,Key Word
키워드1,Key1
키워드2,Key2
키워드3,Key3
키워드4,Key4
키워드,Keyword
킬로그램,Kilogram
킬로와트,Kilowatt
종류,Kind
키트,Kit
주방,Kitchen
기술,Knack
노하우,Know_how
지식,Knowledge
한국,Korea
한국어,Korean
크리비 터미널,Kribi Terminal
LOGS,LOGS
라벨,Label
라벨링,Labelling
실험실,Laboratory
Lack,Lack
라미네이터,Laminator
육로,Land
육로 경로,Land Route
육로 운송 규제 당국,Land transport regulatory authority
착륙,Landing
유선,Landline
임대인,Landlord
차선 광장,Lane plaza
언어,Language
대형 분류,Large Classification
대형 수량,Large Quantity
최근,Last
지난 달,Last Month
최근 가격,Last Price
작년,Last Year
지연,Late
지연 신고,Late filing
지연,Latency
위도,Latitude
출시,Launching
세탁,Laundry
법률,Law
법률 및 규정,Laws And Regulations
변호사,Lawyer
레이아웃,Layout
리더,Leader
리딩,Leading
학습,Learning
임대,Lease
임차권,Leasehold
리스,Leasing
가죽,Leather
떠남,Leave
원장,Ledger
좌측,Left
유산,Legacy
법률,Legal
합법성,Legality
합법성,Legitimacy
대출인,Lender
대출,Lending
길이,Length
수직선 사이의 길이,Length Between Perpendicular
전체 길이,Length Over All
컨테이너 적재량 미만,Less than container load
임차인,Lessee
적은 금액,Lesser
합의된 적은 금액,Lesser amount agreed
영수증,Letter
신용장,Lettre De Credit
레벨,Lev
레벨,Level
레벨3,Level3
레벨5,Level5
부과금,Levy
추가 부과금,Levy In Addition
대형,Lg
책임,Liabilities
책임,Liability
범죄 책임,Liability To Crime
책임 있는,Liable
도서관,Library
면허,Licence
면허증,License
면허증 증명서,License Certificate
차량 번호판,License plate number
면허증,License
허가증,permit
원산지 증명서,certificate of origin
other,기타
면허 발급 기관,Licenser
수명,Life
양력,Lift
등선,Light Ship
등대선,Lightship
가능성,Likelihood
한계,Limit
선,Line
내부,Lining
연결,Link
연계,Linkage
연결됨,Linked
액체,Liquid
청결,Liquidation
유동성,Liquidity
목록,List
목록 정리,List Clearance
청취자,Listener
청취,Listening
목록,Listing
리터,Liter
문헌,Literature
소송,Litigation
소규모,Littleness
적재,Load
적재량2,Load2
적재됨,Loaded
로더,Loader
적재,Loading
상하차,Loading And Unloading
적재 구역,Loading Area
적재 장소,Loading Place
대출,Loan
현지,Local
현지화,Locality
현지화,Localization
현지적,Locally
위치,Location
잠금,Lock
잠김,Locked
숙소,Lodge
숙소,Lodgement
숙소,Lodging
일지,Lodgment
일지부,Log
로깅,Log book
논리,Logging
논리적,Logic
로그인,Logical
로그인,Login
물류,Logistics
로고,Logo
로그아웃,Logout
장기,Long
장기,Long-Term
경도,Longitude
느슨함,Loose
손실,Loss
분실,Lost
로트,Lot
로트,Lots
낮음,Low
낮음,Lower
낮은 부분,Lower Part
낮춤,Lowered
최저,Lowest
최저 한도,Lowest Limit
최저 한도 가격,Lowest Limit Price
윤활유,Lubricant
윤활유류,Lubricants
일괄,Lump
일괄,Lumpsum
고급,Luxury
LVI,Lvi
MBI,MBI
MCD,MCD
MDF,MDF
MOF,MOF
MTI,MTI
기계,Machine
기계류,Machinery
매크로,Macro
제조,Made
매거진 및 폐기,Magasin & Dedouanement
우편,Mail
본사,Main
본토,Mainland
유지관리,Maintain
유지 보수,Maintenance
주요,Major
제조,Make
이의 제기,Make An Objection
제조자,Maker
제조,Making
복사본 제작,Making A Copy
말라위 세무 당국,Malawi revenue authority
말레이시아,Malaysia
남성,Male
남성,Man
경영,Management
운송수단 관리,Management Of Means Of Transport
관리자,Manager
면세 및 모니터링 관리자,Manager Tax Exemption and Monitoring
전무이사,Managing director
임명,Mandate
임명인,Mandator
필수,Mandatory
적하목록,Manifest
적하목록 참조 번호,Manifest reference number
매뉴얼,Manual
제조,Manufactory
제조,Manufacture
제조품 제조,Manufacture Commodity
보증 하에 제조,Manufacture under bond
제조,Manufactured
제조업체,Manufacturer
제조업체,Manufactures
지도,Map
매핑,Mapping
3월,March
마진,Margin
해상,Marine
마크,Mark
마커,Markers
시장,Market
시장 가격,Market Price
마케터,Marketer
마케팅,Marketing
매리지,Marriage
마스킹,Masking
질량,Mass
마스터,Master
마스터 선적항,Master b/l
마스터 선적항 일련번호,Master b/l serial number
일치,Match
일치됨,Matched
자재,Material
매트릭스,Matrix
물질,Matter
성숙,Mature
성숙도,Maturity
Mawb,Mawb
최대,Maximum
5월,May
Mc,Mc
평균,Means
측정,Measure
측정,Measurement
고기,Meat
미디어,Media
중간값,Median
중재,Mediation
약물,Medication
의약품,Medicine
마감일 준수,Meet Deadlines
회의,Meeting
용융,Melt
회원,Member
회원 가입,Membership
메모,Memo
각서,Memorandum
기억,Memory
수리,Mending
메뉴,Menu
병합,Merge
메시지,Message
메시어스,Messieurs
메타,Meta
메타데이터,Metadata
메타데이터,Metage
미터,Meter
방법,Method
방법론,Methodology
미터 톤,Metric Ton
메트릭,Metrics
마이크로,Micro
중간,Middle
중간 분류,Middle Classification
이주,Migration
마일리지,Mileage
밀리초,Millisecond
광물,Mineral
최소,Minimum
광업,Mining
부처,Ministry
재무부,Ministry of Finance
경미,Minor
분,Minute
분,Minutes
기타,Miscellaneous
혼합 가능,Miscible
오해,Misconception
불일치,Mismatch
미션,Mission
혼합,Mix
MMS,Mms
MMSi,Mmsi
모바일,Mobile
이동통신사,Mobile network operator
모의,Mock
모드,Mode
모델,Model
수정,Modification
수정됨,Modified
수정자,Modifier
수정,Modify
모듈,Module
월요일,Monday
화폐,Monetary
돈,Money
입금,Money In
출금,Money Out
모니터링,Monitored
모니터링,Monitoring
독점,Monopoly
월,Month
월 및 일,Month And Day
매월,Monthly
월,Months
계류,Mooring
주택담보대출,Mortgage
주택담보대출 할인,Mortgage Discount
동작,Motion
동기,Motive
자동차,Motor
자동차 활성화,Motor Vehicle Activation
자동차 규정 준수 검사,Motor Vehicle Compliance Check
Mou,Mou
형성 폭,Moulded Breadth
형성 깊이,Moulded Depth
마운팅,Mounting
이동,Move
이동,Movement
많음,Much
다중,Multi
다중 모드 운송,Multimodal transport
다국적,Multinational
다중,Multiple
다목적 인터넷 메일 확장 프로그램,Multipurpose internet mail extensions
음악,Music
내,My
내 페이지,My page
미스터리 잭팟,Mystery Jackpot
NBAA,NBAA
NIDA,NIDA
NIN,NIN
NOI,NOI
부가가치세 없음,NON-VAT
NSWIFT,NSWIFT
이름,Name
이름1,Name1
이름2,Name2
이름3,Name3
이름4,Name4
이름5,Name5
마약,Narcotic
설명,Narration
설명,Narrative
전국,Nation wide
국가,National
국고,National Treasury
국가 통화,National currency
국적,Nationality
토착민,Native
토착민 및 외국인,Native And Foreigner
천연,Natural
천연자원,Natural resource
성격,Nature
훈련 성격,Nature Of Training
지불 성격,Nature of Payment
사업 성격,Nature of business
근거리 무선 통신,Near field communication
필요성,Necessity
필요,Need
부정적,Negative
협상,Negotiation
순,Net
순톤수,Net Tonnage
순중량,Net Weight
순질량,Net mass
순가격,Net price
순표준량,Net standard volume
순량,Net volume
네트워크,Network
네트워크 서비스 제공업체,Network Service Provider
중립성,Neutrality
신규,New
신제품,New Product
최신,Newest
뉴스,News
다음,Next
넥서스,Nexus
별명,Nickname
야간,Night
없음,Nil
탑승객 없음,No Boarding Passenger
상업적 가치 없음,No Commercial Value
소득 없음,No Income
기록 없음,No Record
총소득 없음,No Total Income
부과 없음,No impose
노드,Node
명목상,Nominal
없음,Non
신고 불가,Non Creditable
면제 불가,Non Exemption
수혜자 없음,Non beneficiary
운영 불가,Non-Operation
기소 불가,Non-Prosecution
판매 불가,Non-Sale
세금 면제 불가,Non-Tax
비살상 무기,Non-lethal weapon
미수령,Non-receipt
미구제,Non-relief
미제출,Non-submit
미현재,NonCurrent
미적격,NonEligible
미최종,Nonfinal
미이행,Nonfulfillment
미납,Nonpayment
미허가,Nonpermission
미거주,Nonresidence
비거주자,Nonresident
미활용,Nonutilized
미벌금지,Nopenalty
정상,Normal
정상 흐름,Normal Flow
정상 상태,Normality
비밀봉,Noseal
미적용,Not
미도착,Not Apply
미징수,Not Arrival
미수령,Not Citation
미적용,Not Drawback
미도착,Not Loading And Unloading
미징수,Not Receive
미수령,Not applicable
미적용,Not filing
미제출,Not loading
미제출,Not release
미탑재,Not report
참고,Note
공지사항 발행,Note Issuing
공지,Notice
공지사항,Notice Article
공지평가,Notice Assessment
인증거부공지,Notice Of Refusal Of Certification
공지서,Notice Sheet
공지인,Noticer
공지,Notification
공지,Notify
공지당사자,Notify Party
11월,November
지금,Now
현재 스테이션,Now Station
Null,Null
숫자,Number
횟수,Number Of Times
숫자1,Number1
숫자2,Number2
숫자3,Number3
숫자4,Number4
번호 매기기,Numbering
숫자,Numeral
분자,Numerator
숫자,Numeric
숫자 값,Numeric_value
OHADA,OHADA
목적,Object
이의,Objection
목적,Objective
의무,Obligation
의무자,Obligator
준수,Observance
관찰,Observation
관찰,Observe
관찰자,Observer
장애물,Obstacle
획득,Obtain
획득,Obtainment
점유,Occupancy
점유,Occupation
발생,Occur
발생,Occurrence
10월,October
Odbr,Odbr
Odcy,Odcy
Oem,Oem
Off,Off
Off the course,Off the course
위반,Offence
위반 통지,Offence Notice
위반자,Offender
위반,Offense
제안,Offer
제안자,Offerer
사무실,Office
임원,Officer
공식,Official
공식 문서,Official Document
공식 인장,Official Seal
공식 권한,Official authority
오프라인,Offline
상쇄,Offset
해외,Offshore
석유,Oil
석유 마케팅 회사,Oil marketing companies
Ok,Ok
이전,Old
생략,Omission
생략,Omit
온,On
선상,On board
선상,Onboard
일회용 비밀번호,One time password
자신의 집,One`S Own House
본인,Oneself
온라인,Online
전용,Only
소유권,Onwership
공개,Open
공개 공간,Open space
개설자,Opener
개설,Opening
개설 가격,Opening Price
공개,Opening To The Public
운영,Operate
운영,Operating
운영,Operation
운영자,Operator
의견,Opinion
반대,Opposite
옵티마이저,Optimizer
옵션,Option
오라클,Oracle
주문,Order
주문 혼합,Order Compoundment
주문,Ordering
일반성,Ordinariness
유기적,Organic
조직,Organization
조직들,Organizations
조직화,Organize
지향성,Orientation
지향성,Oriented
원산지,Origin
원산지 국가,Origin Country
원산지,Original
원산지 추가 비용,Original Addition Cost
원산지 기반,Original Base
원산지 지불 연체,Original Delinquency In Payment
원산지 통지서,Original Notice Sheet
원산지,Originating
고아,Orphan
Os,Os
기타,Other
기타 기능,Other Function
기타 정부 기관,Other government agency
기타 정부 부서,Other government department
기타 수입 절차,Other import procedures
기타 세무 당국,Other revenue authorities
기타,Others
기타 비용,Others Cost
당사,Our
발신,Out
발신함,Outbox
결과,Outcome
발신,Outgoing
이상치,Outlier
산출,Output
초기,Outset
외부,Outside
외부 연결,Outside Connection
외부인,Outsider
미해결,Outstanding
산출,Outturn
외부,Outward
초과,Over
전체,Overall
전체 목표,Overall target
당좌 대월,Overdraft
연체,Overdue
연체 상품,Overdue Goods
과지급,Overpaid
과지급,Overpayment
과지급 또는 오지급,Overpayment Or Erroneous Payment
해외,Overseas
해외 사업 연결,Overseas Business Connection
초과 체류,Overstay
초과 근무,Overtime
개요,Overview
소유,Own
소유,Owned
소유자,Owner
소유권,Ownership
PAYE,PAYE
패키지,Package
포장,Packaging
패키지,Packet
포장,Packing
페이지,Page
지불됨,Paid
납입자본,Paid-up capital
파나마 운하,Panama Canal
패널,Panel
종이,Paper
종이 없는,Paperless
파라곤,Paragon
단락,Paragraph
병렬 처리,Parallelism
병렬화,Parallelization
매개변수,Parameter
매개변수1,Parameter1
매개변수2,Parameter2
매개변수3,Parameter3
구획,Parcel
상위,Parent
파트 분석,Parsing
부분,Part
부분적,Partial
참가자,Participant
참여,Participate
참여,Participation
특정,Particular
특정 사항,Particulars
분할,Partition
파트너,Partner
파트너십,Partnership
당사자,Party
통행권,Pass
통행,Passage
승객,Passenger
통행,Passing
여권,Passport
비밀번호,Password
과거,Past
패치,Patch
특허,Patent
경로,Path
환자,Patient
순찰,Patrol
패턴,Pattern
일시 정지,Pause
지불,Pay
지불 가능,Payable
수취인,Payee
지불인,Payer
납부,Payin
탑재량,Payload
지불,Payment
지불 약정 계획,Payment Arrangement Plan
납부세 할부,Payment Tax Installment
지불 서비스 제공업체,Payment service provider
급여,Payroll
PDF,Pdf
행상인,Peddler
벌금,Penalty
보류,Pending
1인당,Per
회사당,Per Company
국가당,Per Country
기관당,Per Institution
종류당,Per Kind
세금 종류당,Per Kind Of Tax
1박당,Per Night
급여당,Peracute
백분율,Percent
백분율,Percentage
완벽함,Perfection
성과,Perfomance
성과,Performance
기간,Period
이행 기간,Period Of Fulfilment
주기성,Periodicity
영구,Permanent
허가,Permission
허가,Permit
영구,Perpetual
영구적,Pershable
폐쇄 가능,Person
인,Person Of Cancellation
취소인,Person in charge
담당자,Personal
개인,Personal identification number
개인식별번호,Personalized
개인화된,Personnel
인원 수,Personnel Count
관련,Pertaining to
페루,Peru
청원,Petition
휘발유,Petrol
석유,Petroleum
사소한,Petty
Pg,Pg
약사,Pharmacist
단계,Phase
현상,Phenomena
사진,Photograph
사진술,Photography
구문,Phrase
프탈레이트,Phthalates
물리적,Physical
채취,Picking
사진,Picture
약탈,Pillaged
기둥,Pillar
조종사,Pilot
도선,Pilotage
권총,Pistol
장소,Place
배출 장소,Place Of Discharge
적재 장소,Place Of Loading
선적 장소,Place Of Shipping
배치,Placement
계획,Plan
계획된,Planned
플래너,Planner
계획,Planning
식물,Plant
식재,Planting
접시,Plate
플랫폼,Platform
간청,Pleading
공약,Pledge
토지,Plot
플러그,Plug
복수형,Plural
Plv,Plv
Pnr,Pnr
우편 사서함,Pobox
지점,Point
포인터,Pointer
경찰,Police
정책,Policy
풀,Pool
인구,Population
팝업,Popup
항구,Port
항구 자율권,Port Autonome
입국항,Port of entry
포털,Portal
부분,Portion
포틀릿,Portlet
직위,Position
직위 수,Position Count
보유 직위,Position Held
소유,Possession
소유자,Possessor
가능성,Possibility
가능성,Possible
사후 감사,Post Audit
사후 검사,Post Examination
사후 관리,Post Management
사후 통관 감사,Post clearance audit
사후 입국,Post entry
우편,Postal
우편물,Postal matter
발송,Posting
후불,Postpaid
연기,Postpone
연기,Postponement
잠재력,Potential
파우치,Pouch
권한,Power
실무,Practice
실무자,Practiser
도착 전 신고,Pre-arrival declaration
사전 조정,Prearrangement
선례,Precedent
정밀도,Precision
예정자,Predestinator
술어,Predicates
예측,Prediction
선호도,Preference
접두사,Prefix
예비,Preliminary
전제,Premise
전제,Premises
보험료,Premium
준비,Preparation
선불,Prepayment
선불 금액,Prepayment Amount
처방,Prescribe
처방,Prescription
현재,Present
현재 상태,Present Condition
제시,Presentation
제시자,Presenter
보존,Preservation
사장,President
추정,Presumptive
전제 가정,Presupposition
사전 치료,Pretreat
승인,Prevailing
예방,Prevention
미리보기,Preview
이전,Previous
지난해,Previous Year
지난달,Previous month
지난 분기,Previous quarter
지난해 및 월,Previous year and month
지난해 및 분기,Previous year and quarter
가격,Price
주요,Primary
주요 키,Primary Key
주요,Principal
원칙,Principle
인쇄,Print
인쇄물,Printed Matter
인쇄,Printing
이전,Prior
우선순위,Priority
비공개,Private
권한,Privilege
확률,Probability
보호관찰,Probation
문제,Problem
절차,Procedure
절차,Procedures
진행,Proceed
수익,Proceeds
처리,Process
처리됨,Processed
처리,Processing
처리자,Processor
조달,Procure
조달,Procurement
생산,Produce
생산됨,Produced
생산자,Producer
제품,Product
제품 수,Product Count
제품 목록,Product List
제품세,Product Tax
생산,Production
전문,Professional
프로파일,Profile
프로파일링,Profiling
이익,Profit
이익 손실,Profit loss
프로포마,Proforma
프로그램,Program
진행,Progress
진행형 잭포트,Progressive Jackport
금지,Prohibition
프로젝트,Project
예상,Projected
예상,Projection
프롤로그,Prologue
약속,Promise
약속어음,Promissory Note
승인,Promotion
공포,Promulgation
선고,Pronouncement
증명,Proof
전파,Propagation
추진,Propelled
추진자,Propeller
재산,Proper
재산권,Property
비율,Proportion
제안,Proposal
제안된,Proposed
소유자,Proprietor
재산권,Propriety
추진,Propulsion
기소,Prosecute
기소인,Prosecution
검찰관,Prosecutor
예상,Prospect
보호,Protection
항의,Protest
공증인,Prothonotary
의정서,Protocol
제공자,Provider
제공,Provision
정보 제공,Provision Of Information
제공 공급,Provision Supply
가정,Provisional
단서,Proviso
공개,Public
공개 경매,Public Auction
공개 증명서,Public Certificate
공개 인증,Public Certification
공무원,Public Servant
공고,Publication
공개,Publish
공개 회사,Publish Company
공개됨,Published
발행인,Publisher
처벌,Punishment
학생,Pupil
매수,Purchase
매수 수수료,Purchase Fee
매수 대금,Purchase Money
매수 지시서,Purchase Order
구매자,Purchaser
순도,Purity
목적,Purpose
추진,Push
QABP,QABP
Qblock,Qblock
Qna,Qna
Qr,Qr
Qte 포장,Qte Emballage
자격,Qualification
품질,Quality
수량,Quantity
검역,Quarantine
분기,Quarter
분기별,Quarterly
분기별,Quartier
준사법적,Quasi-Judicial
부두,Quay
질의,Query
질문,Question
설문지,Questionary
설문지,Questionnaire
대기열,Queue
대기 중,Queued
할당량,Quota
견적,Quotation
RAABP,RAABP
RAEBP,RAEBP
재신청,REAPPLICATION
RII,RII
ROI,ROI
랙,Rack
방사선,Radiation
무선,Radio
전파,Radio Wave
방사능,Radioactivity
반경,Radius
철도,Rail
철도,Railroad
무작위,Random
범위,Range
등급,Rank
급속,Rapid
급속성,Rapidity
비율,Rate
평가 가능,Rateable
등급,Rating
비율,Ratio
원자재,Raw
원자재,Raw Materials
Rccm,Rccm
Rdl,Rdl
재분석,Re-Analysis
재감사,Re-Audit
재분류,Re-Classification
재요청,Re-Request
재수출,Re-export exportation
재수입,Re-importation
재경로 변경,Re-route
도달,Reaching
반응,Reaction
판독,Read
판독자,Reader
판독,Reading
준비,Ready
준비금,Ready money
시약,Reagent
실제,Real
실시간,Real-time
실시간 모니터링 시스템,Real-time monitoring system
실현,Realization
재할당,Reallocation
영역,Realm
재신청,Reapply
재임명,Reappoinment
재평가,Reappraisal
사유,Reason
재평가,Reassessment
재할당,Reassign
재할당자,Reassigner
재할당,Reassignment
재승인,Reauthorization
리베이트,Rebate
리베이트 제공자,Rebater
리베이트,Rebates
재계산,Recalculation
회수,Recall
수취,Receipt
미수금,Receivables
수취,Receive
수취,Received
수취인,Receiver
수취 중,Receiving
최근,Recent
접수,Reception
접수원,Receptionist
수신자,Recipient
인식,Recognition
재조합,Recombination
추천,Recomendation
추천,Recommandation
추천하다,Recommend
권장 사항,Recommendations
추천자,Recommender
재건,Recon
화해,Reconciled
화해,Reconciliation
재건,Reconstruction
기록,Record
기록,Recording
복구,Recover
복구 가능,Recoverable
복구됨,Recovered
복구,Recovery
모집,Recruitment
정정,Rectification
적색,Red
재개발,Redevelopment.
재분배,Redistribution
재실행,Redo
감소,Reduce
감소,Reduction
감소 및 예외,Reduction And Exception
재검토,Reexamine
재수출,Reexport
참조,Refer
심판,Refereeing
참고,Reference
정리,Refininf
반사,Reflect
반사체,Reflector
환류,Reflux
개량,Reform
상쾌하게,Refresh
냉장,Refrigeration
냉장고,Refrigerator
급유,Refueling
환불,Refund
환불됨,Refunded
환불,Refundment
거부,Refusal
거부,Refuse
정식,Regal
관심,Regard
제도,Regime
지역,Region
지역적,Regional
지역 세관 통과 보증,Regional customs transit guarantee
등록,Register
등록됨,Registered
등록자,Registrant
등록기관,Registrar
등록,Registration
등록부,Registry
재교부,Regrant
퇴보,Regression
정규성,Regularity
규제,Regulation
규제,Regulatory
복구,Rehabilitation
재수입,Reimport
재수입 - 재수출,Reimport - Reexport
재검사,Reinspection
복원,Reinstatement
재계장,Reinstrumentation
재보험,Reinsurance
재보험사,Reinsurer
재발급,Reissue
거부,Rejected
거부,Rejection
관련,Related
관계,Relation
관계 기본 정보,Relation Basic Information
관계자,Relation Person
관계,Relationship
중계,Relay
해제,Release
해제 및 반입,Release And Bring
해제 명령,Release Order
해제됨,Released
관련성,Relevant
신뢰성,Reliability
구제,Relief
종교,Religion
재장전,Reloading
남음,Remain
나머지,Remainder
나머지 통지,Remainder Notice
남음,Remained
선내 잔류,Remaining on board
비고,Remark
알림,Reminder
면제,Remission
송금,Remittance
원격,Remote
제거,Removal
제거,Remove
보수,Remuneration
재협상,Renegotiation
갱신,Renew
갱신,Renewal
임대료,Rent
임대료,Rental
임대료,Rental Fee
임대료,Rented
임대,Renumeration
보수,Reopen
재개방,Reopening
재개방,Repackage
재포장,Repacking
